academic_year,branch_code,branch_name,data_type,pdf_count,pdf_description,pdf_filename,pdf_index,pdf_url,program,scraped_at,semester,subject_branch_code,subject_category,subject_category_:basic_science_courses,subject_category_:engineering_science_courses,"subject_category_:humanities_and_social_science,_including_management_courses",subject_category_:mandatory_non-credit_courses_–_audit_course,subject_category_:mopec-01(mooc),subject_category_:mopec-02(mooc),subject_category_:mopec-02_(mooc),subject_category_:pec-01(mooc),subject_category_:pec-02(mooc),subject_category_:pec-03(mooc),subject_category_:pec-04(mooc),subject_category_:professional_core_courses,subject_content,subject_content_type,subject_eff_from,"subject_elective_subject:
____________________________________________________no","subject_elective_subject:
____________________________________________________yes",subject_exp,subject_index,subject_l,subject_original_branch_code,subject_original_category,subject_original_category_:basic_science_courses,subject_original_category_:engineering_science_courses,"subject_original_category_:humanities_and_social_science,_including_management_courses",subject_original_category_:mandatory_non-credit_courses_–_audit_course,subject_original_category_:mopec-01(mooc),subject_original_category_:mopec-02(mooc),subject_original_category_:mopec-02_(mooc),subject_original_category_:pec-01(mooc),subject_original_category_:pec-02(mooc),subject_original_category_:pec-03(mooc),subject_original_category_:pec-04(mooc),subject_original_category_:professional_core_courses,subject_original_eff_from,"subject_original_elective_subject:
____________________________________________________no","subject_original_elective_subject:
____________________________________________________yes",subject_original_exp_,subject_original_l_,subject_original_p_,subject_original_sem__year,subject_original_subcode,subject_original_subjectname,subject_original_t_,subject_p,subject_row_index,subject_sem__year,subject_subcode,subject_subjectname,subject_t,subject_table_index,subject_total_lines,total_subjects
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:19,4,,,,,,,,,,"Remark :
                                                    N/A",,,,,,,,,Isfunctional :Yes,,10,,,,,,,,,,,"Remark :
                                                    N/A",,,,,,,Isfunctional :Yes,,,,,,,,,3,,,,,3,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:19,4,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,,,,,"Theory Exam Duration :
                                                    3",,11,,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,,,"Theory Exam Duration :
                                                    3",,,,,,,,,1,,,,,4,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:19,4,,,,,,,IsPractical :No,,,,,,,,,,,,Practical Exam Duration :0,,12,,,,,,,,IsPractical :No,,,,,,,,,,Practical Exam Duration :0,,,,,,,,,2,,,,,4,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:19,4,,,,,,,"Remark :
                                                    N/A",,,,,,,,,,,,Isfunctional :Yes,,13,,,,,,,,"Remark :
                                                    N/A",,,,,,,,,,Isfunctional :Yes,,,,,,,,,3,,,,,4,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:19,4,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,,,,,"Theory Exam Duration :
                                                    3",,14,,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,,,"Theory Exam Duration :
                                                    3",,,,,,,,,1,,,,,5,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:19,4,,,,,,,IsPractical :No,,,,,,,,,,,,Practical Exam Duration :0,,15,,,,,,,,IsPractical :No,,,,,,,,,,Practical Exam Duration :0,,,,,,,,,2,,,,,5,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:19,4,,,,,,,"Remark :
                                                    N/A",,,,,,,,,,,,Isfunctional :Yes,,16,,,,,,,,"Remark :
                                                    N/A",,,,,,,,,,Isfunctional :Yes,,,,,,,,,3,,,,,5,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:19,4,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,,,,,"Theory Exam Duration :
                                                    3",,17,,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,,,"Theory Exam Duration :
                                                    3",,,,,,,,,1,,,,,6,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:19,4,,,,,,,IsPractical :No,,,,,,,,,,,,Practical Exam Duration :0,,18,,,,,,,,IsPractical :No,,,,,,,,,,Practical Exam Duration :0,,,,,,,,,2,,,,,6,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:19,4,,,,,,,"Remark :
                                                    N/A",,,,,,,,,,,,Isfunctional :Yes,,19,,,,,,,,"Remark :
                                                    N/A",,,,,,,,,,Isfunctional :Yes,,,,,,,,,3,,,,,6,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,"Elective Subject:
                                                    Yes",IsPractical :No,,,,,,,,,,,,,,,"IsTheory :
                                                    Yes",,,"Category :MOPEC-02 (MOOC)Elective Subject:
                                                    YesIsTheory :
                                                    YesTheory Exam Duration :
                                                    3IsPractical :NoPractical Exam Duration :0Remark :
                                                    N/AIsfunctional :YesIsSemipractical :No",0,"Remark :
                                                    N/A","Elective Subject:
                                                    Yes",IsPractical :No,,,,,,,,,,,,,"IsTheory :
                                                    Yes",,,"Category :MOPEC-02 (MOOC)Elective Subject:
                                                    YesIsTheory :
                                                    YesTheory Exam Duration :
                                                    3IsPractical :NoPractical Exam Duration :0Remark :
                                                    N/AIsfunctional :YesIsSemipractical :No","Remark :
                                                    N/A",IsSemipractical :No,Practical Exam Duration :0,Category :MOPEC-02 (MOOC),"Theory Exam Duration :
                                                    3",Isfunctional :Yes,IsSemipractical :No,1,Practical Exam Duration :0,Category :MOPEC-02 (MOOC),"Theory Exam Duration :
                                                    3",Isfunctional :Yes,1,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,,,,,,,,,,,,Category :MOPEC-02 (MOOC),1,,,,,,,,,,,,,,,,,,,Category :MOPEC-02 (MOOC),,,,"Elective Subject:
                                                    Yes",,,,2,,"Elective Subject:
                                                    Yes",,,1,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,,,,,,,,,,,,"IsTheory :
                                                    Yes",2,,,,,,,,,,,,,,,,,,,"IsTheory :
                                                    Yes",,,,"Theory Exam Duration :
                                                    3",,,,3,,"Theory Exam Duration :
                                                    3",,,1,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,,,,,,,,,,,,IsPractical :No,3,,,,,,,,,,,,,,,,,,,IsPractical :No,,,,Practical Exam Duration :0,,,,4,,Practical Exam Duration :0,,,1,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,,,,,,,,,,,,"Remark :
                                                    N/A",4,,,,,,,,,,,,,,,,,,,"Remark :
                                                    N/A",,,,Isfunctional :Yes,,,,5,,Isfunctional :Yes,,,1,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,,,"Theory Exam Duration :
                                                    3",,5,,,,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,"Theory Exam Duration :
                                                    3",,,,,,,,,1,,,,,2,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,IsPractical :No,,,,,,,,,,Practical Exam Duration :0,,6,,,,,,,,,,IsPractical :No,,,,,,,,Practical Exam Duration :0,,,,,,,,,2,,,,,2,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,"Remark :
                                                    N/A",,,,,,,,,,Isfunctional :Yes,,7,,,,,,,,,,"Remark :
                                                    N/A",,,,,,,,Isfunctional :Yes,,,,,,,,,3,,,,,2,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,,,,,"IsTheory :
                                                    Yes",,,,,,"Theory Exam Duration :
                                                    3",,8,,,,,,,,,,,,,,"IsTheory :
                                                    Yes",,,,"Theory Exam Duration :
                                                    3",,,,,,,,,1,,,,,3,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,,,,,IsPractical :No,,,,,,Practical Exam Duration :0,,9,,,,,,,,,,,,,,IsPractical :No,,,,Practical Exam Duration :0,,,,,,,,,2,,,,,3,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,,,,,"Remark :
                                                    N/A",,,,,,Isfunctional :Yes,,10,,,,,,,,,,,,,,"Remark :
                                                    N/A",,,,Isfunctional :Yes,,,,,,,,,3,,,,,3,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,,,"Theory Exam Duration :
                                                    3",,11,,,,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,"Theory Exam Duration :
                                                    3",,,,,,,,,1,,,,,4,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,IsPractical :No,,,,,,,,,,Practical Exam Duration :0,,12,,,,,,,,,,IsPractical :No,,,,,,,,Practical Exam Duration :0,,,,,,,,,2,,,,,4,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,"Remark :
                                                    N/A",,,,,,,,,,Isfunctional :Yes,,13,,,,,,,,,,"Remark :
                                                    N/A",,,,,,,,Isfunctional :Yes,,,,,,,,,3,,,,,4,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,,,,"IsTheory :
                                                    Yes",,,,,,,"Theory Exam Duration :
                                                    3",,14,,,,,,,,,,,,,"IsTheory :
                                                    Yes",,,,,"Theory Exam Duration :
                                                    3",,,,,,,,,1,,,,,5,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,,,,IsPractical :No,,,,,,,Practical Exam Duration :0,,15,,,,,,,,,,,,,IsPractical :No,,,,,Practical Exam Duration :0,,,,,,,,,2,,,,,5,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,,,,"Remark :
                                                    N/A",,,,,,,Isfunctional :Yes,,16,,,,,,,,,,,,,"Remark :
                                                    N/A",,,,,Isfunctional :Yes,,,,,,,,,3,,,,,5,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,,,"Theory Exam Duration :
                                                    3",,17,,,,,,,,,,"IsTheory :
                                                    Yes",,,,,,,,"Theory Exam Duration :
                                                    3",,,,,,,,,1,,,,,6,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,IsPractical :No,,,,,,,,,,Practical Exam Duration :0,,18,,,,,,,,,,IsPractical :No,,,,,,,,Practical Exam Duration :0,,,,,,,,,2,,,,,6,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:24,5,,,,,,,,,"Remark :
                                                    N/A",,,,,,,,,,Isfunctional :Yes,,19,,,,,,,,,,"Remark :
                                                    N/A",,,,,,,,Isfunctional :Yes,,,,,,,,,3,,,,,6,,20
2024-25,06,Civil Engineering,subject,0,,,,,Diploma,2025-07-17 11:37:28,6,,,,,,,,,,,,,,,"Bachelor of Engineering (Part Time)
Diploma arc
01 - DIPLOMA IN AERONAUTICAL ENGINEERING
02 - AUTOMOBILE ENGINEERING
03 - BIOMEDICAL ENGINEERING
05 - CHEMICAL ENGINEERING
06 - CIVIL ENGINEERING
07 - COMPUTER ENGINEERING
09 - ELECTRICAL ENGINEERING
11 - ELECTRONICS AND COMMUNICATION ENGINEERING
13 - ENVIRONMENTAL ENGINEERING
17 - INSTRUMENTATION AND CONTROL ENGINEERING
18 - DIPLOMA IN MARINE ENGINEERING
19 - MECHANICAL ENGINEERING
20 - MECHATRONICS ENGINEERING
21 - METALLURGY ENGINEERING
22 - MINING ENGINEERING
23 - PLASTICS ENGINEERING
31 - COMPUTER SCIENCE & ENGINEERING
34 - DIPLOMA IN MECHANICAL(MANUFACTURING TECHNOLOGY)",extracted_text,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1
2024-25,09,Electrical Engineering,pdf_link,15,DI01000011,DI01000011.pdf,0,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000011.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01000021,DI01000021.pdf,1,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000021.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01000031,DI01000031.pdf,2,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000031.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01000041,DI01000041.pdf,3,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000041.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01000071,DI01000071.pdf,4,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000071.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01000081,DI01000081.pdf,5,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000081.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01000091,DI01000091.pdf,6,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000091.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01009011,DI01009011.pdf,7,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01009011.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01C00021,DI01C00021.pdf,8,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00021.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01C00031,DI01C00031.pdf,9,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00031.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01C00041,DI01C00041.pdf,10,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00041.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01C00071,DI01C00071.pdf,11,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00071.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01C00081,DI01C00081.pdf,12,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00081.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01C00091,DI01C00091.pdf,13,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00091.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,pdf_link,15,DI01C09011,DI01C09011.pdf,14,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C09011.pdf,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,"Elective Subject:
                                                    No",IsPractical :No,,,,,,,,,,,,,,,"IsTheory :
                                                    No",,,"Category :Mandatory Non-Credit Courses – Audit CourseElective Subject:
                                                    NoIsTheory :
                                                    NoTheory Exam Duration :
                                                    0IsPractical :NoPractical Exam Duration :Remark :
                                                    TESTINGIsfunctional :YesIsSemipractical :No",0,"Remark :
                                                    TESTING","Elective Subject:
                                                    No",IsPractical :No,,,,,,,,,,,,,"IsTheory :
                                                    No",,,"Category :Mandatory Non-Credit Courses – Audit CourseElective Subject:
                                                    NoIsTheory :
                                                    NoTheory Exam Duration :
                                                    0IsPractical :NoPractical Exam Duration :Remark :
                                                    TESTINGIsfunctional :YesIsSemipractical :No","Remark :
                                                    TESTING",IsSemipractical :No,Practical Exam Duration :,Category :Mandatory Non-Credit Courses – Audit Course,"Theory Exam Duration :
                                                    0",Isfunctional :Yes,IsSemipractical :No,1,Practical Exam Duration :,Category :Mandatory Non-Credit Courses – Audit Course,"Theory Exam Duration :
                                                    0",Isfunctional :Yes,1,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,Category :Mandatory Non-Credit Courses – Audit Course,1,,,,,,,,,,,,,,,,,,,Category :Mandatory Non-Credit Courses – Audit Course,,,,"Elective Subject:
                                                    No",,,,2,,"Elective Subject:
                                                    No",,,1,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,"IsTheory :
                                                    No",2,,,,,,,,,,,,,,,,,,,"IsTheory :
                                                    No",,,,"Theory Exam Duration :
                                                    0",,,,3,,"Theory Exam Duration :
                                                    0",,,1,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,IsPractical :No,3,,,,,,,,,,,,,,,,,,,IsPractical :No,,,,Practical Exam Duration :,,,,4,,Practical Exam Duration :,,,1,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,,,,,,,,,,,,,,,,,,"Remark :
                                                    TESTING",4,,,,,,,,,,,,,,,,,,,"Remark :
                                                    TESTING",,,,Isfunctional :Yes,,,,5,,Isfunctional :Yes,,,1,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,,,,"IsTheory :
                                                    No",,,,,,,,,,,,"Theory Exam Duration :
                                                    0",,,5,,,,,,,"IsTheory :
                                                    No",,,,,,,,,,"Theory Exam Duration :
                                                    0",,,,,,,,,,1,,,,,2,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,,,,IsPractical :No,,,,,,,,,,,,Practical Exam Duration :,,,6,,,,,,,IsPractical :No,,,,,,,,,,Practical Exam Duration :,,,,,,,,,,2,,,,,2,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,,,,"Remark :
                                                    TESTING",,,,,,,,,,,,Isfunctional :Yes,,,7,,,,,,,"Remark :
                                                    TESTING",,,,,,,,,,Isfunctional :Yes,,,,,,,,,,3,,,,,2,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,"IsTheory :
                                                    Yes",,,,,,,,,,,,,,,"Theory Exam Duration :
                                                    2.5 Hrs",,,8,,,,"IsTheory :
                                                    Yes",,,,,,,,,,,,,"Theory Exam Duration :
                                                    2.5 Hrs",,,,,,,,,,1,,,,,3,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,IsPractical :No,,,,,,,,,,,,,,,Practical Exam Duration :,,,9,,,,IsPractical :No,,,,,,,,,,,,,Practical Exam Duration :,,,,,,,,,,2,,,,,3,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,Remark :,,,,,,,,,,,,,,,Isfunctional :Yes,,,10,,,,Remark :,,,,,,,,,,,,,Isfunctional :Yes,,,,,,,,,,3,,,,,3,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,,,"IsTheory :
                                                    No",,,,,,,,,,,,,"Theory Exam Duration :
                                                    2.5 Hrs",,,11,,,,,,"IsTheory :
                                                    No",,,,,,,,,,,"Theory Exam Duration :
                                                    2.5 Hrs",,,,,,,,,,1,,,,,4,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,,,IsPractical :No,,,,,,,,,,,,,Practical Exam Duration :,,,12,,,,,,IsPractical :No,,,,,,,,,,,Practical Exam Duration :,,,,,,,,,,2,,,,,4,,50
2024-25,09,Electrical Engineering,subject,15,,,,,Diploma,2025-07-17 11:37:33,1,,,,,Remark :,,,,,,,,,,,,,Isfunctional :Yes,,,13,,,,,,Remark :,,,,,,,,,,,Isfunctional :Yes,,,,,,,,,,3,,,,,4,,50
