Subcode,Branch code,Eff_from,SubjectName,Category,Sem /Year,L.,T.,P.,TW/SL,Total,E,M,I,V,Total.1,gtuSyllabusURL
DI02000071,6,2024-25, Engineering Mechanics,Professional Core Courses,2,3,0,2,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000071.pdf
DI02000131,6,2024-25, Contributor Personality Development,"Humanities and Social Science, including Management Courses",2,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000131.pdf
DI02000141,6,2024-25, Integrated Personality Development Course,"Humanities and Social Science, including Management Courses",2,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000141.pdf
DI02000151,6,2024-25, Essence of Indian Knowledge and Tradition,"Humanities and Social Science, including Management Courses",2,3,0,0,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000151.pdf
DI02006011,6,2024-25, Basic Surveying,Engineering Science Courses,2,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02006011.pdf
DI02C00011,6,2025-26, Applied Mathematics,Basic Science Courses,2,3,1,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02C00011.pdf
DI02C00051,6,2025-26, Environmental Sustainability,Engineering Science Courses,2,2,0,0,,2,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02C00051.pdf
DI02C00061,6,2025-26, Indian Constitution,Mandatory Non-Credit Courses – Audit Course,2,2,0,0,,0,0,0,50,0,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02C00061.pdf
DI02C00071,6,2025-26, Engineering Mechanics,Professional Core Courses,2,3,0,2,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02C00071.pdf
DI02C00131,6,2025-26, Contributor Personality Development,"Humanities and Social Science, including Management Courses",2,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02C00131.pdf
DI02C00141,6,2025-26, Integrated Personality Development Course,"Humanities and Social Science, including Management Courses",2,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02C00141.pdf
DI02C00151,6,2025-26, Essence of Indian Knowledge and Tradition,"Humanities and Social Science, including Management Courses",2,3,0,0,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02C00151.pdf
DI02C06011,6,2025-26, Basic Surveying,Engineering Science Courses,2,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02C06011.pdf
DI03006011,6,2025-26, Construction Technology,Engineering Science Courses,3,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03006011.pdf
DI03006021,6,2025-26, Advance Surveying,Professional Core Courses,3,2,0,4,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03006021.pdf
DI03006031,6,2025-26, Basic Transportation Engineering,Professional Core Courses,3,3,0,2,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03006031.pdf
DI03006041,6,2025-26, Mechanics of Structures-I,Professional Core Courses,3,3,0,2,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03006041.pdf
DI03006051,6,2025-26, Soil Engineering,Professional Core Courses,3,3,0,2,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03006051.pdf
DI03006061,6,2025-26, Computer Aided Drafting,Professional Core Courses,3,0,1,4,,3,0,0,50,50,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03006061.pdf
310001,6,Aug-11, Advertising And Communication,,1,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310001.pdf
310002,6,Aug-11, Applied Science- I [physics],,1,2,0,0,,2,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310002.pdf
310004,6,Aug-11, Art & Design,,1,2,0,6,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310004.pdf
310006,6,Aug-11, Building Material - I,,1,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310006.pdf
310007,6,Aug-11, Business Communication I,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310007.pdf
310008,6,Aug-11, Business Mathematics,,1,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310008.pdf
310009,6,Aug-11, Business Organization And Management,,1,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310009.pdf
310010,6,Aug-11, Ceramic Materials,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310010.pdf
310011,6,Aug-11, Clothing Construction - I,,1,1,0,6,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310011.pdf
310012,6,Aug-11, Colour,,1,1,0,6,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310012.pdf
310014,6,Aug-11, Communication Skills - I,,1,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310014.pdf
310018,6,Aug-11, Computer Applications,,1,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310018.pdf
310019,6,Aug-11, Computer - I,,1,2,0,4,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310019.pdf
310020,6,Aug-11, Cooking Methods,,1,2,0,6,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310020.pdf
310021,6,Aug-11, Drawing & Painting - I,,1,0,0,6,,6,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310021.pdf
310022,6,Aug-11, Drawing Sketching & Painting - I,,1,2,0,8,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310022.pdf
310023,6,Aug-11, Electronic Materials & Components,,1,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310023.pdf
310024,6,Aug-11, Elementary Clothing & Textiles,,1,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310024.pdf
310025,6,Aug-11, Elementary Home Management,,1,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310025.pdf
310026,6,Aug-11, Elements of Textile Processing,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310026.pdf
310027,6,Aug-11, Elements of Textile Technology,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310027.pdf
310029,6,Aug-11, Engineering Drawing,,1,2,0,4,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310029.pdf
310030,6,Aug-11, Engineering Mechanics,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310030.pdf
310031,6,Aug-11, Essentials of Environment and Seismic Engineering,,1,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310031.pdf
310032,6,Aug-11, First Aid & Home Nursing,,1,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310032.pdf
310033,6,Aug-11, Fundamental of Electronics,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310033.pdf
310034,6,Aug-11, Mathematics - I,,1,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310034.pdf
310035,6,Aug-11, Personality Development & Communication Skills,,1,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310035.pdf
310036,6,Aug-11, Physical Analytical and Inorganic Chemistry,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310036.pdf
310037,6,Aug-11, Principles And Practice of Accounting,,1,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310037.pdf
310038,6,Aug-11, Principles of Economics I,,1,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310038.pdf
310039,6,Aug-11, Textile Science,,1,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310039.pdf
310041,6,Aug-11, Engineering Measurements - I,,1,0,0,2,,2,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310041.pdf
310042,6,Aug-11, Office Automation,,1,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310042.pdf
310043,6,Aug-11, Building Drawing,,1,0,0,6,,3,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310043.pdf
310044,6,Aug-11, Model Making,,1,0,0,4,,2,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310044.pdf
310045,6,Aug-11, Object Drawing,,1,1,0,6,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310045.pdf
310046,6,Aug-11, Sketching And Drawing,,1,1,0,6,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310046.pdf
310047,6,Aug-11, Computer Application - I,,1,1,0,6,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310047.pdf
310048,6,Aug-11, Arts And Crafts,,1,0,0,6,,3,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310048.pdf
310049,6,Aug-11, Workshop,,1,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310049.pdf
320016,6,Aug-11, Programming In C,,1,2,0,4,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320016.pdf
3300001,6,Sep-12, Basic Mathematics,,1,2,2,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300001.pdf
3300002,6,Sep-12, English,,1,3,2,0,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300002.pdf
3300003,6,Sep-12, Environment Conservation And Hazard Management,,1,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300003.pdf
3300004,6,Sep-12, ENGINEERING PHYSICS ( GROUP-1 ),,1,3,0,2,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300004.pdf
3300007,6,Sep-12, Basic Engineering Drawing,,1,2,0,4,,6,70,30,60,40,200,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300007.pdf
3300012,6,Sep-12, Computer Application & Graphics,,1,0,0,4,,4,0,0,60,40,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300012.pdf
4300001,6,Sep-21, Mathematics,Basic Sciences,1,3,1,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300001.pdf
4300002,6,Sep-21, Communication Skills in English,Humanities & Social Sciences,1,2,0,2,,3,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300002.pdf
4300004,6,Sep-21, Applied Physics,Basic Sciences,1,3,0,2,,4,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300004.pdf
4300010,6,Sep-21, Basics of Information and Communication Technology,Engineering Sciences,1,0,0,4,,2,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300010.pdf
4300013,6,Sep-21, Basic Engineering Drawing and Graphics,Engineering Sciences,1,2,0,4,,4,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300013.pdf
4300014,6,Sep-21, Basics of Electrical and Electronic Engineering,Engineering Sciences,1,0,2,2,,3,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300014.pdf
4300015,6,Sep-21, Sports and Yoga,Audit,1,0,0,2,,0,0,0,50,0,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300015.pdf
4310002,6,Sep-22, Induction Program,Mandatory,1,0,0,0,,0,0,0,0,0,0,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4310002.pdf
C300001,6,07/01/13, Basic Mathematics,,1,2,2,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C300001.pdf
C300002,6,07/01/13, English,,1,3,2,0,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C300002.pdf
C300003,6,07/01/13, Environment Conservation & Hazard Management,,1,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C300003.pdf
C300004,6,07/01/13, ENGINEERING PHYSICS ( GROUP-1),,1,3,0,2,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C300004.pdf
C4300001,6,Aug-22, Mathematics,Basic Sciences,1,3,1,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300001.pdf
C4300002,6,Aug-22, Communication Skills in English,Humanities & Social Sciences,1,2,0,2,,3,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300002.pdf
C4300004,6,Aug-22, Applied Physics,Basic Sciences,1,3,0,2,,4,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300004.pdf
C4300010,6,Aug-22, Basics of Information and Communication Technology,Engineering Sciences,1,0,0,4,,2,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300010.pdf
C4300013,6,Aug-22, Basic Engineering Drawing and Graphics,Engineering Sciences,1,2,0,4,,4,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300013.pdf
C4300014,6,Aug-22, Basics of Electrical and Electronic Engineering,Engineering Sciences,1,0,2,2,,3,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300014.pdf
C4300015,6,Aug-22, Sports and Yoga,Audit,1,0,0,2,,0,0,0,50,0,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300015.pdf
1990001,6,Sep-12, Contributor Personality Development,Elective,2,4,0,0,,4,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/1990001.pdf
1990001,6,Sep-12, Contributor Personality Development,Elective,2,4,0,0,,4,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/1990001.pdf
1990002,6,2021, Integrated Personality Development Course,Elective,2,4,0,0,,4,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/1990002.pdf
1990002,6,2021, Integrated Personality Development Course,Elective,2,4,0,0,,4,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/1990002.pdf
310049,6,Aug-11, Workshop,Compulsory,2,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310049.pdf
320001,6,Aug-11, Mathematics-II,Compulsory,2,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320001.pdf
320002,6,Aug-11, Applied Science - II (CHEMISTRY),Compulsory,2,2,0,0,,2,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320002.pdf
320003,6,Aug-11, Elements of Mechanical Engineering,Compulsory,2,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320003.pdf
320004,6,Aug-11, Fundamentals of Electrical Engineering,Compulsory,2,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320004.pdf
320005,6,Aug-11, Non Conventional Energy Sources,Compulsory,2,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320005.pdf
320006,6,Aug-11, Civil Engg. Drawing,Compulsory,2,2,0,6,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320006.pdf
320007,6,Aug-11, Elements of Civil Engineering,Compulsory,2,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320007.pdf
320008,6,Aug-11, Mechanical Drafting,Compulsory,2,2,0,6,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320008.pdf
320009,6,Aug-11, Electrical Circuit,Compulsory,2,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320009.pdf
320010,6,Aug-11, Theory of Machine & Strength of Material,Compulsory,2,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320010.pdf
320011,6,Aug-11, Organic Chemistry,Compulsory,2,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320011.pdf
320012,6,Aug-11, Chemical Engineering Material,Compulsory,2,2,0,0,,2,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320012.pdf
320013,6,Aug-11, Mechanical Operation (CEO- I),Compulsory,2,3,0,4,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320013.pdf
320014,6,Aug-11, Text Generation - I,Compulsory,2,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320014.pdf
320015,6,Aug-11, Mechanical Structure & Piping Drafting,Compulsory,2,2,0,4,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320015.pdf
320016,6,Aug-11, Programming In C,Compulsory,2,2,0,4,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320016.pdf
320017,6,Aug-11, Electronic Devices And Circuits - I,Compulsory,2,3,0,4,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320017.pdf
320018,6,Aug-11, Ceramic Art,Compulsory,2,1,0,4,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320018.pdf
320019,6,Aug-11, Elements of Electrical & Mechanical For Textile,Compulsory,2,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320019.pdf
320021,6,Aug-11, Fiber Technology,Compulsory,2,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320021.pdf
320022,6,Aug-11, Fiber Science,Compulsory,2,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320022.pdf
320023,6,Aug-11, Introduction To Mining & Geology,Compulsory,2,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320023.pdf
320024,6,Aug-11, Communication Skills - II,Compulsory,2,4,0,0,,2,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320024.pdf
320027,6,Aug-11, Textile Process - I,Compulsory,2,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320027.pdf
320038,6,Aug-11, Composition,Compulsory,2,1,0,6,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320038.pdf
320042,6,Aug-11, Business Communication II,Compulsory,2,3,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320042.pdf
320056,6,Aug-11, Engineering Measurement - II,Compulsory,2,0,0,2,,2,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320056.pdf
320057,6,Aug-11, Computer Application,Compulsory,2,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320057.pdf
320058,6,Aug-11, Electronic Practices,Compulsory,2,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320058.pdf
320059,6,Aug-11, Mechatronics Work-shop,Compulsory,2,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320059.pdf
3300008,6,Sep-12, Applied Mechanics,Compulsory,2,3,0,2,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300008.pdf
3300009,6,Sep-12, APPLIED CHEMISTRY (GROUP-1),Compulsory,2,3,0,2,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300009.pdf
3320003,6,Sep-12, ADVANCED MATHEMATICS(GROUP-2),Compulsory,2,2,2,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3320003.pdf
3320601,6,Sep-12, Building Drawing,Compulsory,2,2,0,4,,6,70,30,60,40,200,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3320601.pdf
3320602,6,Sep-12, Basic Mechanical Engineering,Compulsory,2,0,1,2,,3,0,0,30,20,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3320602.pdf
